name,needsEscape,isBoolean
accept,false,false
accept-charset,false,false
accesskey,false,false
action,false,false
align,false,false
allow,false,false
alt,false,false
async,false,true
autocapitalize,false,true
autocomplete,false,true
autofocus,false,false
autoplay,false,false
bgcolor,false,false
border,false,false
buffered,false,true
challenge,false,false
charset,false,false
checked,true,true
cite,false,false
class,true,false
code,false,false
codebase,false,false
color,false,false
cols,false,false
colspan,false,false
content,false,false
contenteditable,false,false
contextmenu,false,false
controls,false,false
coords,false,false
crossorigin,false,false
csp,false,false
data,false,false
datetime,false,false
decoding,false,false
default,true,false
defer,false,false
dir,false,false
dirname,false,false
disabled,false,false
download,false,false
draggable,false,false
dropzone,false,false
enctype,false,false
for,true,false
form,false,false
formaction,false,false
headers,false,false
height,false,false
hidden,false,false
high,false,false
href,false,false
hreflang,false,false
http-equiv,false,false
icon,false,false
id,false,false
importance,false,false
integrity,false,false
ismap,false,false
itemprop,false,false
keytype,false,false
kind,false,false
label,false,false
lang,false,false
language,false,false
lazyload,false,true
list,false,false
loop,false,false
low,false,false
manifest,false,false
max,false,false
maxlength,false,false
media,false,false
method,false,false
min,false,false
minlength,false,false
multiple,false,true
muted,false,true
name,false,false
novalidate,false,true
open,true,false
optimum,false,false
pattern,false,false
ping,false,false
placeholder,false,false
poster,false,false
preload,false,true
readonly,false,true
rel,false,false
required,false,true
reversed,false,true
rows,false,false
rowspan,false,false
sandbox,false,false
scope,false,false
selected,false,true
shape,false,false
size,false,false
sizes,false,false
slot,false,false
span,false,false
spellcheck,false,false
src,false,false
srcdoc,false,false
srclang,false,false
srcset,false,false
start,false,false
step,false,false
style,false,false
summary,false,false
tabindex,false,false
target,false,false
title,false,false
translate,false,false
type,true,false
usemap,false,false
value,false,false
width,false,false
wrap,false,false
